page_name,page_created,total_interactions,likes,comments,shares,message
Chapel Hill-Carrboro City Schools,2009-07-27T14:48:50Z,0,0,0,0,NC Department of Public Instruction today released the NC School Report Cards. See how your school is performing at www.ncreportcards.org.
Facebook,2007-11-07T22:51:32Z,6182,4294,616,1267,Watch out for two new viruses that are spreading across the web. They involve emails made to look like they are from Facebook telling you to take some action on your account. Remember that we will never send you a new password as an attachment. Stay informed on how to keep your account secure by becoming a fan of the Facebook Security Page.
Sidney / Richland County Library,2009-08-20T17:10:16Z,0,0,0,0,NA
KIPP SoCal Public Schools,2009-07-14T23:02:23Z,8,7,1,0,KAO was in the Los Angeles Wave community newspaper today! Click the link below to read the article.
Salem-Keizer Public Schools,2009-03-23T15:25:28Z,0,0,0,0,"One more day to give us feedback. We're looking for 500 responses, at least. Only a few more to go. Help us out and fill out the survey: http://www.surveymonkey.com/s.aspx?sm=tT62RnvtEyYPNgiANr0gUA_3d_3d:=:https://www.surveymonkey.com/survey-closed/?sm=Z%2br1dzdcK3WnK4b4X6I0ie4Gvt9JUSD1wut2Q1dfx8Evw6HdAxzsfaFfMx7dvkSo"
Delavan-Darien School District,2009-10-14T21:20:13Z,3,2,1,0,"Your vote counts, Comet fans!!! Help a student artist get publicized and win a prize! Artsonia.com, an online “art museum” for kids’ artwork, featured the work of Phoenix Middle School sixth grader Jasmine Harmeyer in the “Artist of the Week” contest. If she gets enough votes, Jasmine’s artwork will be featured on the Artsonia homepage, and she will receive a commemorative plaque from Artsonia. If selected, she will receive a $50 gift certificate and the school a $100 gift certificate for art supplies. To vote, visit http://www.artsonia.com/aotw/vote/0/6529145:=:https://www.artsonia.com/museum/aotw/vote.asp and click the “vote for me” button under Jasmine’s picture. You can vote once per day. The contest ends Saturday night."
Leavenworth USD 453,2009-10-22T22:36:32Z,0,0,0,0,Check out the District Activities Calendar! Great events to see and support! We're gearing up for Winter Sports! Don't miss the LHS Fall Play on November 19-21!
Wauwatosa School District,2009-07-15T17:59:25Z,1,1,0,0,Wauwatosa NOW has a great story about two Swiss teachers who recently visited the district. The husband/wife team tell about how they plan to apply what they saw here in their classrooms back home.
Connections Academy,2008-11-26T00:41:14Z,23,18,5,0,"Minnesota Connections Academy student Kiri Baga, 14, made the unusual jump from novice level to a Junior Grand Prix event in Germany, where she won the women's title! Glückwünsche!!!"
"Kansas City, Kansas Public Schools",2009-05-28T20:55:02Z,2,2,0,0,Take a look at this month's Student of the Month winners . . .
Utah Association of Public Charter Schools,2009-10-05T22:16:31Z,1,0,1,0,"Help us grow our Facebook fan base, suggest UAPCS to your friends!"
"Kansas City, Kansas Public Schools",2009-05-28T20:55:02Z,2,1,1,0,"Three schools within the Kansas City, Kansas Public Schools have been recognized as 2009 Challenge Award winners. The Challenge Awards are designed to recognize Kansas schools that are making a notable difference in student achievement despite facing significant challenges in their school population. This award recognizes schools for outstanding achievement and uncommon accomplishment based on Kansas Assessment results, the sample size, and the socio-economic status of those taking the test."
Ridgefield School District,2009-08-18T18:02:58Z,0,0,0,0,"Don't forget to vote! Ballots must be postmarked by Tuesday, Nov. 3."
Ridgefield School District,2009-08-18T18:02:58Z,1,1,0,0,The November breakfast and lunch menus all the schools are now online: http://tinyurl.com/lj22pm:=:http://www.ridge.k12.wa.us/158110111217582710/blank/browse.asp?A=383&BMDRN=2000&BCOB=0&C=55505
Delavan-Darien School District,2009-10-14T21:20:13Z,2,1,1,0,Reminder: Holiday Craft Fair at DDHS is Nov. 8. Just $2 gets you in the door — http://bit.ly/2d4MuV:=:https://ddschools.wordpress.com/2009/10/29/holiday-craft-fair-set-for-nov-8/
University of Arkansas Community College at Morrilton,2008-06-24T13:01:33Z,0,0,0,0,"Spring Break in London info. meeting - tonight 6:30 pm, Room 112, Fine Arts Bldg."
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,Check Out More Good News About Polk County Public Schools!
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,"Jewett School of the Arts Trick or Treat so Kids Can EatThe Thespian Troupe at Winter Haven’s Jewett School of the Arts is participating in The International Thespian Society’s Trick or Treat so Kids Can Eat program on Halloween, Saturday, October 31."
Adlai E. Stevenson High School,2009-06-15T20:22:00Z,0,0,0,0,"We'll take ""Anticipated Events"" for $100: SHS junior's moment on ""Jeopardy!"" almost here."
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,"For safety and security, digital cameras were installed on all busses that were purchased after 2006."
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,27 Polk schools received the prestigious Five Star School designation for outstanding community service and community involvement.
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,"32,000 volunteers provided more than 1.7 million volunteer hours and 12,000 students performed 130,000 hours of community service."
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,The Polk County School Board was named School Board of the Year by the Florida Alliance for the Arts.
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,The Polk County School District has applied for and received over $315 million in grants over the past five years to benefit students.
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,The Polk County School Board received the Kennedy Center's Award for excellence in arts education.
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,Polk County Schools recently received the Top Performer Award from the EPA and U.S. Dept. of Energy for energy conservation.
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,More than two- thirds of Polk County Schools received an A or B grade from the state in 2009.
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,"Three Polk teachers in the past six years were Florida Teacher of the Year finalists, one winning the state title."
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,169 seniors attained Superintendent's Scholars status with at least a 3.75 GPA and high scores on the SAT or ACT in 2009.
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,Polk County Schools is ranked 19th in the nation for the number of National Board Certified Teachers.
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,28 students were honored for perfect FCAT scores in reading and math in 2009.
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,"In the last five years, Polk had 215 students recognized in various levels of the National Merit Scholar program."
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,"For five consecutive years, the school district has received a Distinguished Budget Presentation Award from the Government Finance Officers Association for satisfying nationally recognized criteria and guidelines."
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,"Over the last three years, the Community Relations Department's efforts to inform and engage the community have resulted in 16 awards from state and local professional PR organizations."
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,State reports show that Polk has the best energy conservation program among Florida school districts. Polk's energy consumption is the lowest of any Florida school district.
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,"Superintendent Gail F. McKinzie, Ph.D. was named Administrator of the Year by the Florida Music Educators Association."
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,The Polk County School District was named a Top 100 Employer for African Americans by Black Collegian Magazine.
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,"More than 2,049 classrooms throughout Polk County Public Schools were upgraded with state-of-the-art digital, wireless and audio technology to enhance the learning process."
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,"The Polk County School District's Florida Department of Education grade was a ""B"" for both 2008 and 2009."
Polk County Public Schools,2009-10-29T13:53:03Z,0,0,0,0,"NASA has awarded Polk County Public Schools a $1.4 million grant to enhance the Central Florida Aerospace Academy, an aviation-oriented career academy for high school students."
Chesterfield County School District,2009-03-11T19:15:02Z,0,0,0,0,NA
Plainwell Community Schools,2009-10-08T16:09:23Z,4,4,0,0,Congratulations to the Women's Volleyball teams on their win at Paw Paw last night. The girls are number one in the Wolverine Conference finishing with an undefeated season in the conference.
BART Charter Public School,2009-08-05T02:20:56Z,13,9,4,0,"could not be more proud of its community of caring teachers, supportive parents, dedicated staff and, of course, hardworking students. Look at this HUGE accomplishment:"
Emporia Public Schools,2008-11-24T16:42:10Z,0,0,0,0,Read a summary of last night's Board of Education meeting.
Plainwell Community Schools,2009-10-08T16:09:23Z,7,6,1,0,Good luck tonight to the Men's Soccer team as they take on Sturgis. Tonight's Regional Finals will be played at Vicksburg at 7:00 p.m. ALL THE WAY TO STATE!
Ozarka College,2009-01-13T17:16:41Z,0,0,0,0,Trio Chili Cook-Off continues today at Melbourne! Come by their offices in the Miller building and have a bowl of chili beginning at 11AM until it's gone.
PA Cyber Charter School,2009-06-23T16:43:03Z,1,1,0,0,The Red Ribbon Parade is in Midland today at 12:30 followed by the PA Cyber pizza party. Hope to see you there in your best costume!! :)
University of Arkansas Community College at Morrilton,2008-06-24T13:01:33Z,0,0,0,0,Timberwolf 5k postponed AGAIN until November 19 at x-period...weather permitting of course!
Florida A&M University,2008-05-07T13:18:18Z,11,11,0,0,NA
Clearwater Schools USD # 264,2009-04-22T15:54:39Z,2,1,1,0,FOOTBALL: HS @ Cheney 7 pm.
Clearfield High School,2009-01-21T23:25:16Z,2,1,1,0,is excited for SADIES WEEK next week!!!
PA Cyber Charter School,2009-06-23T16:43:03Z,0,0,0,0,"FamilyFun Volunteers Contest Do you and your kids volunteer to help others? Tell FamilyFun and your family could win up to $5,000 to donate to the charity of your choice! With judging help from HandsOn Network, FamilyFun magazine and Disney are giving away four grand prizes of $5,000 and five first-place prizes of $500 to each winner's favorite charity. The entry deadline is November 30, 2009. http://familyfun.go.com/magazine/2010-familyfun-volunteers-contest-797298/:=:http://family.disney.com/"
Duval County Public Schools,2009-05-21T17:55:27Z,0,0,0,0,"In honor of Hispanic Heritage Month, John E. Ford K-8 Spanish and Hispanic faculty prepared food items from their home country to share with their fellow teachers and staff."
Patrick County Public Schools,2009-07-11T12:36:08Z,0,0,0,0,Updated Meadows of Dan construction pictures.
Mount Prospect School District 57,2009-10-02T19:18:08Z,0,0,0,0,Lincoln Book Fair
Santa Clara County Office of Education,2010-04-07T15:17:36Z,1,0,1,0,NA
Connections Academy,2008-11-26T00:41:14Z,2,2,0,0,"Georgia Charter Schools Rally at State Capitol to Draw Close to 1,000"
Bethel School District,2009-08-07T03:22:47Z,0,0,0,0,The 125 available doses of H1N1 Flu vaccine were not enough to meet the high demand at Bethel’s first flu shot clinic Wednesday. More than 250 people turned out for the clinic at Willamette High School. Here's the link for the details: http://www.bethelschools.us/
Cardinal Community School District,2009-04-07T02:31:03Z,21,21,0,0,Football boys had a good season this year! 5-5 record and the first playoff trip in school history! GO COMETS!
"Kansas City, Kansas Public Schools",2009-05-28T20:55:02Z,0,0,0,0,"10th grade students in the Kansas City, Kansas Public Schools are writing and publishing poetry in the form of podcasts, which they recorded on their Apple Macbook laptops. One poem from each school has been selected and posted at the link below, and now you have a chance to vote for your favorite. Click on the link to hear the words of our students, and don't forget to vote!"
Bethel School District,2009-08-07T03:22:47Z,0,0,0,0,"In an effort to raise more funds for Bethel programs and students, the Bethel Boosters are now selling their very own cookbook, filled with the best donated recipes."
Greater Brunswick Charter School,2009-06-26T00:31:20Z,0,0,0,0,"will have its third annual book fair at Barnes & Noble, Route 1, North Brunswick, beginning at 5:30 p.m. Nov. 12. Purchases made anytime during the day will help procure books for our school. Fliers available for download."
James Irwin Charter Schools,2009-10-21T20:30:03Z,0,0,0,0,"2 HOUR DELAY! Tomorrow, Thursday, we will delay school 2 hours. check the website and news stations for updates."
Aurora Public Schools,2009-04-14T18:09:02Z,0,0,0,0,APS to Close at Noon Due to Weather Conditions
Rock Island/Milan School District 41,2009-06-06T00:24:17Z,22,11,11,0,Rock Island Rocks (8-1) first round playoff game is at home this Friday! They will be taking on Oak Lawn (Richards) (8-1) at 7:00 p.m. at Rock Island High School. The first 400 entrants to the game will receive a pair of thunder sticks to cheer our Rocks on to a victory. Courtesy of the Letterman's Club!
Emporia Public Schools,2008-11-24T16:42:10Z,2,2,0,0,"Six schools were recognized by Board of Education tonight for achieving State Standard of Excellence - Timmerman, Village, Walnut, Turning Point, EMS and EHS. Congratuations!"
Fort Worth ISD,2009-02-03T02:52:21Z,1,1,0,0,"proudly pays more than $2 million in cash rewards to our PEAK teachers! The bonuses are being delivered today to teachers in the PEAK pilot program for their work in accelerating student achievement. Way, to go, guys!!!"
Facebook,2007-11-07T22:51:32Z,1687,1298,388,0,"How do we serve 300 million unique Facebook experiences? Mike Schroepfer, our vp of engineering, explains our secrets to scaling in this talk at the recent Web 2.0 Summit."
"Springfield Public Schools, Springfield, MO",2009-09-21T21:22:17Z,0,0,0,0,State-level budget cuts announced today mean that SPS could lose as much as $233K from its transportation revenue.
"Springfield Public Schools, Springfield, MO",2009-09-21T21:22:17Z,2,0,2,0,"SPS has received unqualified audits, i.e. in compliance with government standards, from an independent auditor for the last 16 years. Efficient and effective use of resources is one of the district's three main goals."
Arkadelphia Public Schools,2009-09-10T04:10:27Z,3,0,3,0,"Congratulations to the Arkadelphia School District Teachers of the Year! This year's honorees are: Sarah Moss, Goza Middle School and APSD Teacher of the Year; Kathy Crow, Central Primary School and Runner-up for APSD Teacher of the Year; Lillian Harper, Peake Elementary School; Calicia Thomas, Louisa E. Perritt Primary School; and Betsy Smith, Arkadelphia High School"
Arkadelphia Public Schools,2009-09-10T04:10:27Z,1,1,0,0,NA
Arkadelphia Public Schools,2009-09-10T04:10:27Z,0,0,0,0,Red Ribbon Week in Arkadelphia Public Schools
Illinois State Board of Education,2009-09-11T17:54:05Z,0,0,0,0,ACT presented the ACT Systems of Excellence Award to ISBE today. Details at http://www.isbe.state.il.us/news/2009/oct28.htm.
Salem-Keizer Public Schools,2009-03-23T15:25:28Z,0,0,0,0,"We are experiencing higher-than-normal absentee rates at some schools on some days, and a number are due to flu-like symptons... So as a reminder - take these precautionary steps: http://www.salemkeizer.org/content/district-offers-flu-reminders:=:https://salkeiz.k12.or.us/content/district-offers-flu-reminders"
Royal Oak Schools,2009-04-23T20:13:30Z,0,0,0,0,H1N1 Royal Oak Schools - Response and suggested precautions https://www.royaloakschools.com/portal/node/26518
Orange County Public Schools,2009-10-28T13:04:53Z,2,0,1,0,"Evans High School alumna Shardy Camargo, Class of 2009, will appear on The Tyra Banks Show on Nov. 12, 2009 at 4 p.m. She will talk about the book and video she wrote and produced with her peers, ""Everyone Has a Story to Tell,"" which is about homelessness."
Florida Virtual School - FLVS,2009-05-15T16:04:35Z,3,3,0,0,"Please join the FLVS counselors on Monday, November 16th at 6:30pm for tips on the college admission process. Learn about the steps you should be taking to start the college planning process, tools to help you search for colleges that are right for you, and get help on how to properly complete a college application. http://www.tinyurl.com/6ju8gn:=:https://sas.elluminate.com/site/external/jwsdetect/meeting.jnlp?sid=679&password=M.4E984B17570EB47E2EA64D0E0DD036"
Springdale School District,2009-08-24T16:50:44Z,2,2,0,0,"Central Junior High's boys and girls both won conference cross country championships at the Mountie Invitational. The Warriors, paced by Dino Andrade's 2nd place finish, had 44 points for their 3rd consecutive Northwest Arkansas Athletic Conference title. Bentonville was second with 55. The Lady Warriors led all other NWAAC teams to win their first ever championship. Abbey Foreman finished 6th individually."
Delavan-Darien School District,2009-10-14T21:20:13Z,0,0,0,0,"DDHS to host Impressions of Jazz free concert on Monday, Nov. 9. Details at http://bit.ly/1zG0lV:=:https://ddschools.wordpress.com/2009/10/28/fall-jazz-concert_0908/"
Pendleton School District 16R,2009-07-14T21:04:18Z,0,0,0,0,"Remember...no school on Thursday for K-5 and no school on Friday for K-12, but make sure you attend conferences."
School District of New Berlin,2009-09-30T19:53:39Z,1,1,0,0,Our 2009 Fall Newsletter
Facing History and Ourselves,2008-04-29T21:00:52Z,4,0,4,0,NA
Sequoia Union High School District,2009-08-24T23:31:26Z,0,0,0,0,"Tonight is College Night at 6:30 p.m. at Cañada College. About 1,000 high school students and parents expected to attend. Over 75 colleges offering workshops and one-on-one discussion. Cosponsored by the Sequoia district and Cañada College. www.canadacollege.edu"
James Irwin Charter Schools,2009-10-21T20:30:03Z,0,0,0,0,All after school activities for today have been canceled due to the weather. Please check the website and news channels for further updates as this storm progresses.
Wauwatosa School District,2009-07-15T17:59:25Z,0,0,0,0,"Nicole Kashian, of East High School, and Mackenzie Hoffman, of West High School, have both qualified for the WIAA state cross country meet this weekend in Wisconsin Rapids. Good luck Nicole and Mackenzie!"
University of Arkansas Community College at Morrilton,2008-06-24T13:01:33Z,0,0,0,0,Current (female) students: Did you know you could win a $1000 scholarship for being Miss UACCM? http://www.uaccm.edu/Current_Student/Miss_UACCM.htm
Toledo School for the Arts,2009-03-12T19:00:39Z,11,11,0,0,Check out the slideshow from last night's Zombie Attack! http://s464.photobucket.com/albums/rr8/ts4arts/Zombies/?albumview=slideshow:=:http://s464.photobucket.com/user/ts4arts/slideshow/Zombies/?albumview=slideshow
Utah Association of Public Charter Schools,2009-10-05T22:16:31Z,0,0,0,0,Join the Utah Charter Advocate Network to receive updates and help in the legislative session if needed: http://www.surveymonkey.com/s.aspx?sm=K25NKfV_2bIQmVIRYVjfvQsQ_3d_3d:=:https://www.surveymonkey.com/r/?sm=K25NKfV_2bIQmVIRYVjfvQsQ_3d_3d
Salem-Keizer Public Schools,2009-03-23T15:25:28Z,1,1,0,0,Wow... Houck Middle School student designs a special shoe for Nike. Check it out: http://www.salkeiz.k12.or.us/content/houck-student-creates-special-shoe-nike:=:https://salkeiz.k12.or.us/content/houck-student-creates-special-shoe-nike
Palisades Charter High School,2009-08-05T17:35:12Z,3,1,2,0,"Spirit Week is NEXT WEEK, leading up to the Pep Rally and Homecoming Game on Friday 11/6! Monday is Pajama Day. Tuesday is Toga Day (students must wear a shirt and shorts/pants underneath their togas). Wednesday is Nerd Day. Thursday is Flannel Day. Friday is Pali Spirit Day (wear blue and white!)."
Salem-Keizer Public Schools,2009-03-23T15:25:28Z,0,0,0,0,FYI ... meeting tonight at Walker Middle School regardig new school planning: http://www.salkeiz.k12.or.us/content/new-west-salem-schools-workshop-october-28:=:https://salkeiz.k12.or.us/content/new-west-salem-schools-workshop-october-28
"Springfield Public Schools, Springfield, MO",2009-09-21T21:22:17Z,0,0,0,0,"Springfield Special Education PTA (SSEPTA) will host its 3rd annual resource fair on Saturday, Nov. 14, starting at 10 a.m. The event will take place at Parkview High School. For more information visit the SSEPTA web site at http://www.springfieldsepta.org/."
University of Arkansas Community College at Morrilton,2008-06-24T13:01:33Z,0,0,0,0,Calling all lovers of free stuff: Fall Fest NOW in Plaza Courtyard...
Bridges Charter School,2009-10-07T17:16:04Z,0,0,0,0,Show Your Support for BRIDGES Charter School at Nov. 3rd Meeting!!
Enid Public Schools,2009-05-20T04:33:43Z,1,1,0,0,Available today - the November edition of The Connection! Click below -- or even better -- sign up to receive future editions of our e-newsletter by visiting enidpublicschools.org!
Midlothian ISD,2009-10-07T19:20:53Z,0,0,0,0,MISD wins appeal! MISD & MHS accountability ratings changed from unacceptable to Academically Acceptable! [PDF letter] http://ow.ly/x6ND:=:http://www.midlothian-isd.net/district/_pdf/Appeal%20Notification%20102809.pdf
James Irwin Charter Schools,2009-10-21T20:30:03Z,4,4,0,0,Check out the preview to the performance by the soccer boys at Frontier Ranch 2009
Vancouver Public Schools,2009-09-30T17:32:13Z,0,0,0,0,"Apples, pumpkins, spices, and cider . . . all the flavors of fall will be featured at Saturday Adventure Club’s Culinary Kitchen on October 31. Children ages 6–13 will be introduced to recipes using fruits and vegetables traditionally prepared this time of year. Activities also will include some take-home projects."
Heritage Elementary School Glendale,2009-07-29T20:29:18Z,0,0,0,0,"Hello Heritage fans! The holidays are coming up... how are you planning to keep your kids busy with educational activities over the school break? Here's a few ideas: 1. Cook with your kids! You can promote math skills and teach kids chemistry through cooking. 2. Get creative! Making art with your kids is fun and educational. Teach younger kids about shapes and colors, and older kids about how the brain sees color."
James Irwin Charter Schools,2009-10-21T20:30:03Z,2,0,2,0,"today's soccer game has been rescheduled for Friday at 4pm and the 2nd round of playoffs will be Tuesday, if we win Friday."
Bryan ISD,2009-06-18T16:28:31Z,0,0,0,0,"Two more opportunities to let us do the cooking this week! Thurs. Oct. 29, join the Rudder All-American cheerleaders for a Hamburger Dinner before the Rangers game at Merrill Green Stadium. Plates are $5 and will be served from 5 - 7:15 p.m. Friday, Oct. 30, it's the BHS Spanish Club's turn, as they serve a $6 chili supper from 4:30 - 7 p.m. before the Vikings' game. Thanks for supporting BISD student organizations!"
Adlai E. Stevenson High School,2009-06-15T20:22:00Z,3,3,0,0,"Playoff football tickets on sale through the SHS Athletic Office, just $5 each."
Adlai E. Stevenson High School,2009-06-15T20:22:00Z,1,1,0,0,Justin Kopinsky (Class of 2008) heading to China for international computer programming competition. Jon Steinberg (Class of 1995) featured in today's Daily Herald as executive chef of Egg Harbor Cafe in Glenview.
Delavan-Darien School District,2009-10-14T21:20:13Z,2,0,2,0,Turtle Creek Kindergartners took a trip to the Apple Barn Apple Orchard recently. Photos and more from the experience at — http://bit.ly/15DbTc:=:https://ddschools.wordpress.com/2009/10/28/apple-orchard-field-trip/
Elvira Elementary School,2009-09-04T20:42:06Z,0,0,0,0,Please remember to observe all no parking signs around the school. TPD will be patrolling the school area and issuing $380 parking tickets to violators.
Toledo School for the Arts,2009-03-12T19:00:39Z,9,5,4,0,http://abclocal.go.com/wtvg/story?section=news/local&id=7086804:=:http://abclocal.go.com/
Wauwatosa School District,2009-07-15T17:59:25Z,1,0,1,0,Just a reminder that today is an early release day; no classes K-12 this afternoon. There is no school Thursday or Friday for Teacher's Convention. Hope everyone enjoys the long weekend!
CHANNELLOCK®,2009-03-12T18:45:40Z,2,2,0,0,"""Channellock Pliers Save The Day!"" Thanks for the great headline! Check out the article on The Power Tools Blog."
Ridgefield School District,2009-08-18T18:02:58Z,2,2,0,0,Our volleyball and soccer teams are doing very well. Both are working their way to getting places in their district tournaments. Go spudders!
Albuquerque Public Schools,2009-08-26T18:49:10Z,0,0,0,0,Want to know how to help your kids make up school work after an absence? Read the story in the Albuquerque Journal.
"Springfield Public Schools, Springfield, MO",2009-09-21T21:22:17Z,0,0,0,0,"Be sure to check out our YouTube channel. Now featured: principals from Jeffries, Hillcrest, Rountree and our alternative programs discuss what the bond proposals mean for our schools."
Albuquerque Public Schools,2009-08-26T18:49:10Z,0,0,0,0,"Superintendent Winston Brooks spoke to about 1,000 high school students from all over New Mexico at the Career and Technical Students Organization conference Monday morning in Albuquerque. He told them he is impressed by how many students are willing to step up and become leaders in their schools."
Florida Virtual School - FLVS,2009-05-15T16:04:35Z,6,6,0,0,FLVS Model UN just attended the UCF Model UN Conference (KnightMun). Our students represented Greece and Ethiopia - go FLVS! Interested in getting involved? Check out the student activities page to learn more! http://bit.ly/qwGqR:=:https://www.flvs.net/home?error404=/areas/studentservices/Pages/Activities/activitieslist.aspx
BART Charter Public School,2009-08-05T02:20:56Z,6,6,0,0,Check out the new items at our online store. Wouldn't a BArT baseball cap be the perfect holiday gift for a BArT dad?
Bristol Tennessee City Schools,2009-09-25T02:08:25Z,0,0,0,0,"The TN Department of Education has announced changes to the way the 2009 Report Card will be calculated. The scale used to determine all grades A through F has been dramatically revised. For more information, see the attached link."
Delavan-Darien School District,2009-10-14T21:20:13Z,0,0,0,0,The Delavan-Darien School District’s new AlertNow communications tool can quickly and easily reach the parents of children within the district. http://bit.ly/2j4dcK:=:https://ddschools.wordpress.com/2009/10/28/alertnow_0907/
University of Arkansas Community College at Morrilton,2008-06-24T13:01:33Z,0,0,0,0,"One class cancelation, UACCM Pageant, and more: http://thecampuslink.blogspot.com/2009/10/one-wednesday-cancelation-fall-fest-and.html"
Florida Virtual School - FLVS,2009-05-15T16:04:35Z,20,12,8,0,NA
Bethel Hill Charter School,2009-07-31T15:37:33Z,0,0,0,0,"Picture money is due on Friday, Oct. 30th. Please make checks out to BHCS and not Lifetouch. The fall carnivial is Thrusday, Oct. 29th from 5 - 8 with dinner served through 7:30."
Duval County Public Schools,2009-05-21T17:55:27Z,3,3,0,0,"Kirby Smith Middle School was recently awarded a portion of a $564,000 grant through the Challenger Center for Space Science Education."
Delsea Regional High School,2008-05-11T20:34:02Z,1,0,1,0,"Survey: Can You Write In Cursive? And if so, Do You Write In Cursive Often"
Community Consolidated School District 46 - CCSD 46,2009-08-06T21:48:57Z,0,0,0,0,"Board of Education Meeting tonight! Budget Hearing at 6:30, general meeting to follow at 7:00 at Grayslake Middle School. Download the agenda on the BOE page, or watch the live streaming video feed beginning at 6:30 PM."
Palisades Charter High School,2009-08-05T17:35:12Z,1,0,1,0,"Due to the bad weather, the traffic signal is down at Temescal and Bowdoin as of 10pm Tuesday night. Please plan ahead for traffic delays in case the light is not repaired by morning."
Spring Hill School District,2009-08-13T05:02:30Z,1,1,0,0,"""Don't Slip Into Drugs"" is Wednesday's theme for Red Ribbon Week!"
Leonardo da Vinci Health Sciences Charter School,2009-10-03T03:08:07Z,0,0,0,0,We had great participation in today's Twin Day! The next Red Ribbon Week spirit day is on Thursday - wear something to show off your favorite sports team.
Leonardo da Vinci Health Sciences Charter School,2009-10-03T03:08:07Z,0,0,0,0,Thanks to Natalia Valerdi for sharing National Geographic's guide to a 'greener' Halloween. Check it out and see how you can celebrate without creating a large amount of waste...
San Diego Unified School District,2009-06-05T23:27:03Z,0,0,0,0,County of San Diego: H1N1 Vaccine Availability in San Diego County
Toledo School for the Arts,2009-03-12T19:00:39Z,28,16,12,0,"Thanks to all TSA Students for an absolutely AMAZING Zombie Attack!! For those of you that saw it, if you video taped it PLEASE PLEASE PLEASE get with Laura Doles! We want to make a youtube compilation!"
Ozarka College,2009-01-13T17:16:41Z,0,0,0,0,Ozarka Nursing students are helping with flu shot clinics in Ozarka's communities. Thanks nursing students! :)
Fort Worth ISD,2009-02-03T02:52:21Z,0,0,0,0,"Fort Worth ISD trustees approve the first principal of the new Fort Worth ISD Young Women's Academy, Jamia Hall."
Fort Worth ISD,2009-02-03T02:52:21Z,1,1,0,0,Trustees are voting on a second reading of an admissions policy for the District's Pre-K classes. The motion passes 7-1.
Fort Worth ISD,2009-02-03T02:52:21Z,0,0,0,0,Fort Worth ISD Trustees are voting to accept funding donation for construction of Arlington Heights High School baseball fields. The motion passes 7-1.
Fort Worth ISD,2009-02-03T02:52:21Z,0,0,0,0,"Trustees removed three items from the Consent Agenda and will now vote separately on three items, the first of which is an appointment of a board member to the Trinity River District TIF zone. Norman Robbins has been nominated to the post on a 7-1 vote."
Fort Worth ISD,2009-02-03T02:52:21Z,0,0,0,0,"Board of Trustees will approve the consent agenda in just a few minutes, followed by update on the Capital Improvement Program."
Fort Worth ISD,2009-02-03T02:52:21Z,0,0,0,0,Board Meeting is back in regular session. Watch live on the District Web site.
Fort Worth ISD,2009-02-03T02:52:21Z,0,0,0,0,Board Meeting is in Executive Session right now but will reconvene in the Board Meeting Room in just a bit. Watch streaming live video at www.fwisd.org by clicking on Video on Demand.
Bryan ISD,2009-06-18T16:28:31Z,0,0,0,0,"Calling all former Crockett Rockets! We are celebrating Crockett's 60th anniversary Tues. Nov. 3 from 4:30 - 6 p.m. at the school. Enjoy memorabilia, tours of the expanded campus and refreshments. Are you a Rocket from the early years, or know someone who is? Send us an e-mail with your contact information to info@bryanisd.org."
Utah Association of Public Charter Schools,2009-10-05T22:16:31Z,0,0,0,0,"If you didn't catch our recent Op-Ed, read it here! http://www.deseretnews.com/article/705338127/Charter-schools-need-seat-on-board.html?pg=1:=:https://www.deseret.com/article/705338127/Charter-schools-need-seat-on-board.html?pg=1"
Pendleton School District 16R,2009-07-14T21:04:18Z,0,0,0,0,It's conference week! Make sure and check in with your child's teacher!
U.S. Environmental Protection Agency,2008-12-15T05:42:30Z,5,4,1,0,"There are only a few days left in the GreenGov challenge. Administrator Lisa P. Jackson is on video on the White House blog, asking federal employees and members of the military to suggest ways to make the government more sustainable. Have an idea? Let's hear it!"
